#solver	iter	latency-throughput
semimcfraeke	0	
		3. : 0.607477623206
		4. : 1.
		5. : 1.
semimcfraeke	1	
		3. : 0.605325450887
		4. : 1.
		5. : 1.
semimcfraeke	2	
		3. : 0.598839940002
		4. : 1.
		5. : 1.
semimcfraeke	3	
		3. : 0.608027730188
		4. : 1.
		5. : 1.
semimcfraeke	4	
		3. : 0.605296820808
		4. : 1.
		5. : 1.
semimcfraeke	5	
		3. : 0.613451126273
		4. : 1.
		5. : 1.
semimcfraeke	6	
		3. : 0.614848455717
		4. : 1.
		5. : 1.
semimcfraeke	7	
		3. : 0.605038169892
		4. : 1.
		5. : 1.
semimcfraeke	8	
		3. : 0.604360967956
		4. : 1.
		5. : 1.
semimcfraeke	9	
		3. : 0.598285183117
		4. : 1.
		5. : 1.
semimcfraeke	10	
		3. : 0.594018679645
		4. : 1.
		5. : 1.
semimcfraeke	11	
		3. : 0.599873207506
		4. : 1.
		5. : 1.
semimcfraeke	12	
		3. : 0.598294156694
		4. : 1.
		5. : 1.
semimcfraeke	13	
		3. : 0.612486696747
		4. : 1.
		5. : 1.
semimcfraeke	14	
		3. : 0.612486696818
		4. : 1.
		5. : 1.
semimcfraeke	15	
		3. : 0.605658928297
		4. : 1.
		5. : 1.
semimcfraeke	16	
		3. : 0.599984112099
		4. : 1.
		5. : 1.
semimcfraeke	17	
		3. : 0.599984112273
		4. : 1.
		5. : 1.
semimcfraeke	18	
		3. : 0.598180198104
		4. : 1.
		5. : 1.
semimcfraeke	19	
		3. : 0.602984648622
		4. : 1.
		5. : 1.
semimcfraeke	20	
		3. : 0.590358115234
		4. : 1.
		5. : 1.
semimcfraeke	21	
		3. : 0.59877011418
		4. : 1.
		5. : 1.
semimcfraeke	22	
		3. : 0.616415024471
		4. : 1.
		5. : 1.
semimcfraeke	23	
		3. : 0.604471267039
		4. : 1.
		5. : 1.
semimcfraeke	24	
		3. : 0.605690579369
		4. : 1.
		5. : 1.
semimcfraeke	25	
		3. : 0.612235951096
		4. : 1.
		5. : 1.
semimcfraeke	26	
		3. : 0.611395605335
		4. : 1.
		5. : 1.
semimcfraeke	27	
		3. : 0.611395605204
		4. : 1.
		5. : 1.
semimcfraeke	28	
		3. : 0.591896485009
		4. : 1.
		5. : 1.
semimcfraeke	29	
		3. : 0.611099610819
		4. : 1.
		5. : 1.
semimcfraeke	30	
		3. : 0.614281510876
		4. : 1.
		5. : 1.
semimcfraeke	31	
		3. : 0.605202656585
		4. : 1.
		5. : 1.
semimcfraeke	32	
		3. : 0.599825646013
		4. : 1.
		5. : 1.
semimcfraeke	33	
		3. : 0.592769772674
		4. : 1.
		5. : 1.
semimcfraeke	34	
		3. : 0.594613723782
		4. : 1.
		5. : 1.
semimcfraeke	35	
		3. : 0.592542385734
		4. : 1.
		5. : 1.
semimcfraeke	36	
		3. : 0.591448687128
		4. : 1.
		5. : 1.
semimcfraeke	37	
		3. : 0.591461303499
		4. : 1.
		5. : 1.
semimcfraeke	38	
		3. : 0.601716781699
		4. : 1.
		5. : 1.
semimcfraeke	39	
		3. : 0.613989178305
		4. : 1.
		5. : 1.
semimcfraeke	40	
		3. : 0.591431118967
		4. : 1.
		5. : 1.
semimcfraeke	41	
		3. : 0.604122749561
		4. : 1.
		5. : 1.
semimcfraeke	42	
		3. : 0.606648609552
		4. : 1.
		5. : 1.
semimcfraeke	43	
		3. : 0.609083330754
		4. : 1.
		5. : 1.
semimcfraeke	44	
		3. : 0.608823781616
		4. : 1.
		5. : 1.
semimcfraeke	45	
		3. : 0.614620787122
		4. : 1.
		5. : 1.
semimcfraeke	46	
		3. : 0.607032988416
		4. : 1.
		5. : 1.
semimcfraeke	47	
		3. : 0.600632921113
		4. : 1.
		5. : 1.
semimcfraeke	48	
		3. : 0.612080332197
		4. : 1.
		5. : 1.
semimcfraeke	49	
		3. : 0.594015651004
		4. : 1.
		5. : 1.
semimcfraeke	50	
		3. : 0.60050291124
		4. : 1.
		5. : 1.
semimcfraeke	51	
		3. : 0.599930728825
		4. : 1.
		5. : 1.
semimcfraeke	52	
		3. : 0.597585370524
		4. : 1.
		5. : 1.
semimcfraeke	53	
		3. : 0.586398397927
		4. : 1.
		5. : 1.
semimcfraeke	54	
		3. : 0.603137077078
		4. : 1.
		5. : 1.
semimcfraeke	55	
		3. : 0.606928265929
		4. : 1.
		5. : 1.
semimcfraeke	56	
		3. : 0.607371529771
		4. : 1.
		5. : 1.
semimcfraeke	57	
		3. : 0.605668114757
		4. : 1.
		5. : 1.
semimcfraeke	58	
		3. : 0.60202935507
		4. : 1.
		5. : 1.
semimcfraeke	59	
		3. : 0.603285118836
		4. : 1.
		5. : 1.
semimcfraeke	60	
		3. : 0.601987714067
		4. : 1.
		5. : 1.
semimcfraeke	61	
		3. : 0.599118036751
		4. : 1.
		5. : 1.
semimcfraeke	62	
		3. : 0.606870164408
		4. : 1.
		5. : 1.
semimcfraeke	63	
		3. : 0.60220022953
		4. : 1.
		5. : 1.
semimcfraeke	64	
		3. : 0.602191610653
		4. : 1.
		5. : 1.
semimcfraeke	65	
		3. : 0.597516507205
		4. : 1.
		5. : 1.
semimcfraeke	66	
		3. : 0.614768057335
		4. : 1.
		5. : 1.
semimcfraeke	67	
		3. : 0.620511355856
